"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","DEP_DELAY_NEW","ARR_DELAY_NEW","DISTANCE"
13,7,"WN","LAS","SAT",87,82,1069
20,7,"AA","PHL","BOS",0,0,280
8,2,"B6","TPA","BOS",0,0,1185
6,7,"B6","ATL","BOS",24,11,946
7,1,"DL","ATL","CHA",0,0,106
20,7,"B6","IAD","BOS",0,0,413
9,3,"WN","ROC","BWI",0,0,277
22,2,"AA","LAS","DCA",0,26,2089
11,5,"DL","MSP","PDX",3,0,1426
13,7,"AA","MIA","DCA",142,156,919
27,7,"EV","VPS","IAH",5,0,528
14,1,"AA","DFW","AUS",0,0,190
12,6,"AA","MIA","PHL",12,0,1013
25,5,"B6","BOS","TPA",21,0,1185
1,2,"OH","MSN","CLT",0,0,708
7,1,"WN","SAT","HOU",0,0,192
2,3,"UA","SAN","SFO",0,0,447
29,2,"DL","DTW","LAX",0,0,1979
31,4,"AA","ORD","MIA",0,0,1197
9,3,"AA","CMH","DFW",65,46,926
7,1,"OO","MSP","FAR",0,0,223
24,4,"EV","IAH","GPT",0,0,376
18,5,"9E","CLT","JFK",0,23,541
16,3,"OO","SFO","BUR",0,0,326
20,7,"F9","TPA","LAS",10,0,1984
25,5,"DL","MCO","DTW",0,0,957
14,1,"UA","RIC","ORD",177,196,642
19,6,"MQ","BMI","ORD",0,0,116
17,4,"9E","JFK","PWM",0,0,273
3,4,"DL","PBI","ATL",0,0,545
1,2,"DL","TYS","ATL",0,0,152
9,3,"HA","OGG","KOA",0,0,84
30,3,"AA","DFW","BNA",0,0,631
9,3,"UA","LAX","EWR",0,9,2454
28,1,"WN","DAL","STL",0,0,546
9,3,"9E","RDU","BOS",NA,0,612
16,3,"DL","ATL","ICT",0,0,782
27,7,"WN","BWI","MHT",123,133,377
16,3,"UA","MSY","EWR",0,0,1167
27,7,"WN","SAN","DAL",0,0,1182
30,3,"OO","ORD","CLT",4,22,599
20,7,"9E","EWR","DTW",0,0,488
24,4,"YX","MHT","PHL",0,0,289
6,7,"UA","SFO","SNA",162,162,372
4,5,"DL","MKE","ATL",0,0,669
7,1,"NK","MCO","BDL",0,0,1050
14,1,"AA","PHL","ORD",158,NA,678
15,2,"UA","BWI","DEN",62,38,1491
24,4,"WN","DEN","BWI",0,0,1491
7,1,"WN","FLL","JAX",16,8,319
18,5,"DL","MSP","CVG",0,0,596
12,6,"AA","DEN","DFW",0,0,641
3,4,"AA","STL","DFW",0,0,550
30,3,"DL","DTW","IND",0,0,231
7,1,"DL","SFO","MSP",0,0,1589
7,1,"B6","SAV","BOS",27,10,901
11,5,"DL","TPA","JFK",0,0,1005
31,4,"AA","DFW","FAT",0,0,1313
28,1,"AS","MSP","SEA",0,0,1399
21,1,"WN","BWI","MKE",50,50,641
12,6,"WN","SNA","PHX",1,0,338
10,4,"WN","MDW","TPA",0,0,997
18,5,"OH","GSO","CLT",67,35,83
24,4,"WN","CMH","LAS",0,0,1771
4,5,"OO","GRB","ORD",20,7,173
13,7,"WN","STL","CMH",78,85,409
6,7,"AA","SAV","CLT",0,0,213
16,3,"WN","BUR","OAK",10,5,325
4,5,"WN","BUF","PHX",3,4,1912
14,1,"UA","ORD","EWR",1,12,719
24,4,"WN","OAK","BUR",15,16,325
25,5,"WN","PHX","LAX",0,14,370
27,7,"WN","TPA","BWI",0,0,842
10,4,"WN","BWI","MHT",7,4,377
31,4,"9E","BGR","LGA",19,28,378
18,5,"AA","ORD","MSY",19,18,837
8,2,"WN","SAN","SJC",10,1,417
6,7,"AA","MIA","JFK",16,19,1089
12,6,"AA","MIA","CLT",0,0,650
15,2,"OO","HSV","ORD",2,0,510
19,6,"WN","MDW","BUF",1,0,468
20,7,"OH","PHL","MSN",33,2,764
26,6,"OO","SBA","LAX",0,0,89
23,3,"WN","IND","DEN",1,0,977
12,6,"AA","PIT","PHX",0,0,1814
21,1,"YX","LGA","XNA",0,0,1147
10,4,"AA","LGA","BOS",0,0,184
15,2,"YX","DTW","IAH",0,0,1075
9,3,"MQ","ORD","GRR",0,12,137
27,7,"AS","SJC","OGG",0,0,2355
5,6,"MQ","JAX","ORD",0,0,864
25,5,"OO","AUS","SAN",0,3,1164
29,2,"9E","IND","LGA",0,0,660
19,6,"OH","PNS","CLT",0,0,488
5,6,"AS","SFO","SEA",38,31,679
15,2,"WN","LAS","SAN",4,10,258
20,7,"MQ","CVG","DFW",145,134,812
4,5,"AA","CLT","MSP",12,6,930
11,5,"WN","PDX","SAN",3,0,933
16,3,"OH","CLT","MSN",26,37,708
2,3,"OH","PHL","CVG",52,42,507
9,3,"MQ","RIC","ORD",76,112,642
15,2,"DL","MSP","ORD",0,0,334
23,3,"OO","TUL","ORD",0,0,585
19,6,"UA","SFO","EWR",38,59,2565
23,3,"AS","SEA","SJC",0,0,696
12,6,"AA","ORD","DFW",0,0,802
28,1,"AA","TPA","PHX",0,0,1788
7,1,"WN","MSY","DAL",2,0,436
16,3,"DL","STL","ATL",3,0,484
16,3,"OH","PHL","GSP",146,138,515
17,4,"OO","SAN","MCI",0,0,1334
20,7,"NK","DEN","LAX",0,0,862
21,1,"AS","SFO","LAS",0,21,414
13,7,"AA","ORD","SAN",0,0,1723
27,7,"EV","OMA","IAH",0,0,781
1,2,"DL","ATL","DTW",0,0,594
1,2,"WN","DEN","MCI",8,8,533
28,1,"OO","BUF","ORD",0,0,474
2,3,"AA","EWR","CLT",0,0,529
29,2,"AA","MIA","TPA",22,9,204
2,3,"AA","PHX","ATL",0,0,1587
30,3,"AS","HNL","ANC",9,0,2777
25,5,"WN","DAL","BWI",8,12,1209
22,2,"WN","LAS","MDW",13,24,1521
23,3,"WN","MKE","LAX",3,0,1756
31,4,"DL","SLC","MCO",24,19,1931
4,5,"WN","SEA","PHX",0,0,1107
4,5,"AA","PHX","SLC",12,11,507
7,1,"WN","ATL","JAX",0,0,270
13,7,"HA","KOA","HNL",0,0,163
8,2,"AA","LAX","LIH",9,NA,2615
23,3,"EV","ATL","SHV",5,0,551
11,5,"WN","HOU","MCO",15,0,849
16,3,"UA","IAH","LAX",0,0,1379
26,6,"OO","ORD","FSD",0,0,462
5,6,"DL","MCO","DTW",0,0,957
20,7,"9E","BOS","RDU",0,0,612
22,2,"DL","MEM","ATL",0,0,332
6,7,"NK","LAX","TPA",55,38,2158
22,2,"UA","ORD","SJU",0,0,2072
12,6,"DL","ATL","EWR",5,0,746
23,3,"WN","BWI","MCO",3,0,787
27,7,"UA","SMF","SFO",9,3,86
1,2,"AS","LAX","SFO",0,0,337
16,3,"AA","FLL","CLT",0,0,632
26,6,"MQ","ACT","DFW",0,0,89
13,7,"AA","DFW","ORD",2,0,802
19,6,"AA","LGA","MIA",0,0,1096
3,4,"DL","PHX","ATL",88,87,1587
29,2,"OO","BUF","ORD",83,67,474
18,5,"DL","GSP","ATL",0,0,153
23,3,"YV","MFE","DFW",0,0,469
13,7,"DL","ATL","PHX",0,0,1587
19,6,"9E","MCI","LGA",0,0,1107
31,4,"AA","IAH","DFW",0,0,224
27,7,"OH","SAV","CLT",0,0,213
6,7,"WN","TUL","DEN",12,19,541
4,5,"WN","SMF","SAN",12,10,480
3,4,"YX","AUS","MIA",0,0,1103
4,5,"9E","JFK","DCA",0,0,213
7,1,"B6","MCO","SLC",24,20,1931
4,5,"WN","ELP","SAT",15,7,496
24,4,"WN","DEN","TPA",1,6,1506
5,6,"WN","OAK","BUR",10,7,325
17,4,"MQ","ORD","MLI",0,0,139
13,7,"AA","EWR","MIA",0,0,1085
10,4,"OO","LAX","SAN",0,0,109
5,6,"AS","SFO","SAN",5,3,447
13,7,"OH","CLT","ORF",37,34,290
31,4,"UA","EWR","SFO",0,0,2565
4,5,"WN","ONT","SMF",0,0,390
3,4,"OH","CLT","LIT",154,122,640
1,2,"YV","EVV","DFW",0,0,642
30,3,"WN","DEN","SAN",0,0,853
1,2,"WN","PDX","SMF",0,0,479
2,3,"WN","EWR","SAN",5,0,2425
12,6,"WN","RDU","BNA",12,1,442
9,3,"YV","BUF","IAD",0,0,283
15,2,"DL","ATL","IND",54,42,432
20,7,"OO","JAC","DEN",0,0,406
2,3,"MQ","ORD","MHK",0,0,501
10,4,"WN","LAS","MKE",0,0,1524
11,5,"B6","SJU","BOS",11,9,1674
2,3,"9E","RDU","PHL",0,0,337
10,4,"WN","MDW","DAL",54,39,793
16,3,"OO","ATL","CHA",40,35,106
11,5,"DL","CHS","JFK",0,0,636
7,1,"YX","LGA","ORD",0,0,733
8,2,"WN","MDW","MSP",16,15,349
30,3,"AA","RDU","PHL",51,80,337
11,5,"YX","ATL","LGA",0,0,762
23,3,"OO","HYS","SLN",0,1,88
19,6,"UA","EWR","MCO",0,0,937
30,3,"UA","IAH","MSY",0,0,305
19,6,"AA","DFW","JAX",0,0,918
23,3,"MQ","JFK","RDU",0,0,427
9,3,"UA","IAH","HNL",0,0,3904
9,3,"HA","KOA","HNL",0,0,163
4,5,"WN","ELP","PHX",0,0,347
5,6,"DL","MKE","ATL",0,1,669
23,3,"AA","LAX","PHL",0,0,2402
28,1,"YV","SLC","IAH",0,0,1195
21,1,"WN","DAL","BHM",28,29,587
22,2,"DL","ATL","CHA",0,0,106
17,4,"WN","SJC","PHX",123,108,621
30,3,"9E","ATL","HPN",0,6,780
19,6,"F9","DEN","OKC",20,16,495
1,2,"AS","BRW","ANC",0,0,725
12,6,"OO","GCC","DEN",0,0,313
22,2,"WN","CMH","BOS",0,0,640
17,4,"AS","SEA","FAI",0,0,1533
25,5,"DL","ATL","SYR",0,0,794
6,7,"AS","OME","ANC",0,0,539
12,6,"WN","LAX","BWI",130,130,2329
25,5,"WN","ONT","SMF",0,0,390
7,1,"WN","ELP","AUS",0,0,528
19,6,"DL","DTW","BOS",24,23,632
9,3,"EV","ABE","ORD",167,NA,655
5,6,"UA","SFO","SAN",0,0,447
19,6,"WN","RNO","LAS",4,0,345
5,6,"WN","DCA","ATL",0,0,547
15,2,"OO","FNT","MSP",0,0,491
23,3,"DL","JFK","MIA",12,0,1089
21,1,"DL","BZN","MSP",15,11,874
7,1,"OO","DRO","DEN",0,0,250
13,7,"DL","PDX","DTW",0,0,1953
10,4,"OO","ORD","SLC",0,0,1250
6,7,"WN","BNA","CLE",40,32,448
24,4,"WN","BWI","PVD",0,0,327
13,7,"AA","PHX","MIA",1,55,1972
12,6,"NK","MCO","MSP",0,0,1310
28,1,"WN","SAN","LAS",8,0,258
26,6,"EV","RIC","EWR",27,16,277
11,5,"WN","PHX","LAX",0,0,370
18,5,"AS","JNU","ANC",0,0,571
23,3,"WN","PHX","SMF",12,3,647
26,6,"WN","SMF","DEN",1,0,909
22,2,"AA","DFW","FLL",0,0,1119
14,1,"WN","PHX","DEN",37,22,602
16,3,"OO","SFO","RDD",0,0,199
27,7,"WN","LAS","DEN",0,0,628
25,5,"YX","DEN","DFW",0,0,641
28,1,"YX","IND","DEN",0,0,977
6,7,"WN","PHX","SAN",0,0,304
23,3,"WN","ECP","BNA",2,0,401
16,3,"B6","BOS","IAD",84,94,413
22,2,"MQ","TLH","MIA",0,0,402
7,1,"OO","LIT","DTW",0,0,705
8,2,"WN","MDW","DEN",8,0,895
17,4,"B6","EWR","FLL",23,27,1065
1,2,"F9","MKE","PHL",0,0,690
4,5,"OO","ORD","MEM",0,0,491
29,2,"WN","MCO","CMH",0,0,802
19,6,"UA","EWR","BOS",0,0,200
27,7,"YX","DCA","IND",0,0,500
25,5,"DL","JFK","MSP",0,0,1029
6,7,"YX","DCA","MSY",0,0,969
1,2,"AA","CLT","DFW",0,0,936
27,7,"9E","GNV","ATL",0,0,300
16,3,"OH","TYS","DCA",22,12,437
3,4,"YX","EWR","MKE",22,8,725
9,3,"OO","SLC","SFO",0,0,599
29,2,"NK","DTW","MCO",0,16,957
17,4,"B6","SEA","LGB",32,16,965
3,4,"OO","SGU","SLC",1,1,272
30,3,"UA","LGA","DEN",0,0,1620
10,4,"F9","PVD","RDU",0,0,566
29,2,"B6","JFK","DAB",0,0,891
13,7,"WN","OAK","ONT",39,34,362
19,6,"WN","BWI","ISP",8,0,220
3,4,"YX","ORD","ORF",0,0,717
16,3,"UA","LAX","IAH",0,0,1379
30,3,"OH","SDF","CLT",0,0,335
31,4,"AA","CLE","CLT",0,0,430
3,4,"UA","GRR","ORD",NA,NA,137
27,7,"HA","OGG","HNL",12,20,100
31,4,"9E","ATL","SGF",0,1,563
18,5,"UA","DTW","IAH",0,0,1075
23,3,"YV","BNA","IAH",98,101,657
20,7,"UA","IAH","LGA",163,NA,1416
5,6,"AA","BOS","PHL",0,0,280
2,3,"UA","MCO","LAX",7,0,2218
22,2,"AA","SLC","DFW",0,0,989
20,7,"WN","MSY","LAX",0,0,1670
15,2,"DL","LAS","SEA",0,0,867
8,2,"AS","SFO","SEA",0,11,679
6,7,"WN","SJC","ONT",0,0,333
7,1,"9E","STL","LGA",0,0,888
13,7,"UA","DEN","AUS",0,0,775
25,5,"DL","MIA","ATL",0,0,594
3,4,"AA","BOS","DCA",11,2,399
31,4,"EV","IAH","LFT",0,0,201
8,2,"F9","AUS","DEN",0,0,775
11,5,"DL","ATL","BOS",2,6,946
21,1,"UA","CLE","EWR",186,188,404
28,1,"EV","DFW","FWA",0,0,859
17,4,"B6","PSE","JFK",0,0,1617
11,5,"WN","DAL","PHX",42,32,879
25,5,"DL","ORD","ATL",0,12,606
19,6,"WN","AUS","LAS",14,0,1090
30,3,"WN","SEA","DAL",9,0,1670
1,2,"WN","DAL","PHX",0,15,879
1,2,"AA","LGA","ORD",0,0,733
31,4,"WN","BWI","FLL",NA,NA,925
14,1,"OH","HSV","CLT",53,33,333
11,5,"WN","SFO","SAN",0,0,447
30,3,"AA","LAX","DFW",0,0,1235
11,5,"WN","DEN","SEA",2,2,1024
20,7,"AA","ATL","CLT",0,0,226
5,6,"AA","ONT","DFW",0,0,1188
12,6,"YV","IAD","RIC",0,0,100
7,1,"DL","CVG","SLC",0,0,1450
1,2,"AS","LAX","SFO",0,0,337
18,5,"AA","BNA","DFW",0,0,631
25,5,"AA","ORD","SNA",21,21,1726
13,7,"WN","RDU","BNA",5,0,442
18,5,"WN","PHX","LAX",12,17,370
7,1,"YV","PHX","BOI",24,34,735
4,5,"WN","DEN","SDF",6,1,1024
4,5,"WN","DAL","ABQ",22,21,580
30,3,"9E","RDU","LGA",0,0,431
6,7,"9E","JFK","ORF",0,0,290
7,1,"YX","MIA","MSP",0,0,1501
9,3,"AS","SEA","PDX",0,0,129
2,3,"AA","CLE","CLT",0,0,430
15,2,"AA","CLT","JAX",29,45,328
27,7,"B6","LAX","JFK",0,29,2475
17,4,"UA","ORD","PIT",0,0,413
23,3,"AA","DFW","SAN",3,0,1171
28,1,"AA","IAH","PHL",0,0,1325
7,1,"F9","DEN","SLC",0,0,391
28,1,"G4","AZA","CVG",247,238,1553
1,2,"B6","JFK","MCO",0,0,944
23,3,"WN","OMA","STL",19,9,342
18,5,"WN","ATL","LAS",25,44,1747
21,1,"AA","ORD","BDL",62,60,783
11,5,"OO","PIB","MEI",252,251,69
24,4,"OO","ACV","SFO",26,19,250
12,6,"AA","CLT","DTW",0,0,500
9,3,"AA","CLT","ORD",1,6,599
19,6,"OO","IAH","MOB",0,0,427
17,4,"DL","ATL","ICT",0,0,782
19,6,"F9","LAS","ORD",0,0,1514
26,6,"WN","MDW","LGA",0,0,725
21,1,"OO","ORD","PIA",12,38,130
11,5,"OH","PHF","CLT",342,339,282
27,7,"AA","MSP","DFW",0,0,852
25,5,"YX","IND","MIA",0,0,1020
22,2,"DL","AUS","ATL",0,0,813
2,3,"WN","PHX","ELP",0,0,347
25,5,"AA","ORD","RDU",0,0,646
7,1,"9E","DTW","GSO",0,5,460
5,6,"EV","PVD","EWR",0,0,160
11,5,"DL","JFK","LAX",0,19,2475
20,7,"OH","CLT","BNA",0,0,328
13,7,"B6","FLL","JFK",0,1,1069
29,2,"OO","SIT","SEA",0,0,861
1,2,"OH","DSM","ORD",0,0,299
28,1,"WN","MCO","DAL",0,0,973
3,4,"OH","ROC","CLT",0,0,573
28,1,"AA","CLT","DTW",5,0,500
7,1,"YX","LGA","MSN",0,0,812
27,7,"UA","DEN","PDX",0,0,991
22,2,"B6","BOS","SFO",87,57,2704
28,1,"WN","MDW","MHT",4,0,838
25,5,"AS","JNU","ANC",0,0,571
22,2,"AA","LAX","MIA",0,21,2342
19,6,"MQ","ORD","OMA",0,0,416
1,2,"UA","IAH","AUS",0,0,140
19,6,"WN","MCI","LAS",0,0,1139
3,4,"DL","CLT","ATL",0,0,226
3,4,"DL","RSW","CVG",116,103,879
16,3,"HA","PDX","HNL",0,0,2603
15,2,"WN","SAN","SMF",8,4,480
8,2,"UA","BOS","EWR",0,0,200
10,4,"WN","LAS","DAL",7,0,1067
19,6,"AA","BOS","DFW",0,0,1562
8,2,"AA","IAH","DFW",0,0,224
7,1,"WN","BOS","DEN",12,0,1754
3,4,"WN","LAX","SMF",0,2,373
26,6,"DL","SDF","ATL",0,21,321
8,2,"WN","STL","DAL",35,22,546
15,2,"AA","MIA","SEA",114,83,2724
31,4,"NK","PDX","ORD",75,67,1739
14,1,"AA","PVD","PHL",0,0,237
17,4,"DL","DEN","MSP",0,0,680
22,2,"WN","LAS","SMF",39,36,397
21,1,"YX","EWR","CVG",0,0,569
8,2,"B6","MCO","AUS",22,8,994
28,1,"OO","DEN","ISN",0,19,576
11,5,"YV","PHX","PSP",0,0,261
12,6,"AA","LGA","CLT",0,0,544
19,6,"AA","SAT","ORD",1,0,1041
16,3,"AS","SFO","MCO",0,0,2446
1,2,"WN","MDW","SDF",0,0,271
29,2,"AA","LAS","LAX",0,0,236
8,2,"WN","ELP","HOU",0,0,677
1,2,"YX","MIA","ATL",0,0,594
14,1,"F9","IND","LAS",0,0,1590
28,1,"AA","LAX","PHX",0,10,370
4,5,"DL","PBI","JFK",0,0,1028
1,2,"DL","ATL","BHM",0,0,134
15,2,"WN","SJC","GEG",3,0,742
22,2,"AA","PHL","MSY",9,1,1089
22,2,"OO","DTW","MKE",0,0,237
8,2,"NK","FLL","MCO",0,0,177
31,4,"WN","ABQ","DEN",0,0,349
26,6,"AA","SFO","CLT",0,0,2296
14,1,"MQ","MIA","BHM",16,1,661
3,4,"OO","BGM","DTW",0,0,378
1,2,"YX","ILM","PHL",0,0,413
13,7,"AA","DCA","DFW",156,147,1192
12,6,"WN","BUR","OAK",0,0,325
11,5,"UA","DEN","IAD",0,0,1452
13,7,"DL","ATL","DTW",0,0,594
20,7,"WN","DEN","SNA",64,63,846
21,1,"AA","PHL","MCO",0,0,861
3,4,"WN","LAX","LAS",37,39,236
9,3,"OH","CLT","OKC",0,0,940
22,2,"AA","MCI","ORD",0,0,403
31,4,"AS","LAS","SEA",0,0,867
12,6,"B6","BUR","JFK",0,0,2465
15,2,"WN","SAN","SJC",0,0,417
23,3,"UA","EWR","MCO",0,0,937
17,4,"EV","IAH","LBB",0,0,458
28,1,"WN","HOU","CRP",21,10,187
8,2,"HA","KOA","HNL",0,0,163
19,6,"OH","CLT","CHS",30,23,168
11,5,"WN","LAX","SJC",13,15,308
12,6,"F9","PHX","CVG",0,0,1569
13,7,"YV","IAH","CRP",0,0,201
8,2,"UA","CHS","EWR",8,0,628
24,4,"UA","HNL","LAX",0,0,2556
2,3,"OH","DAY","DCA",0,0,391
11,5,"AA","PHX","HNL",0,0,2917
21,1,"WN","BUR","SLC",16,7,574
31,4,"OH","SDF","CLT",0,0,335
11,5,"WN","MKE","TPA",14,13,1075
9,3,"DL","MSP","LGA",0,0,1020
25,5,"YV","MAF","DFW",0,6,309
17,4,"WN","MDW","HOU",0,0,937
9,3,"YX","CLT","CMH",0,0,347
9,3,"WN","CMH","ATL",0,0,447
27,7,"B6","BOS","PHL",0,3,280
13,7,"AA","DCA","PHX",0,0,1979
28,1,"WN","BWI","STL",1,0,738
6,7,"OH","HPN","DCA",0,0,234
30,3,"AS","LAX","SFO",0,NA,337
5,6,"WN","SLC","LAS",3,0,368
11,5,"DL","BOS","SFO",0,20,2704
7,1,"WN","SMF","MCO",0,0,2408
8,2,"AA","DFW","IAD",0,4,1172
10,4,"AA","SFO","PHL",11,0,2521
16,3,"DL","ATL","SFO",12,8,2139
7,1,"MQ","GRR","ORD",0,0,137
26,6,"OO","ORD","MKG",0,0,118
28,1,"YX","PHL","DCA",0,0,119
28,1,"DL","HOU","ATL",0,0,696
25,5,"AA","DCA","PHX",1,0,1979
6,7,"AA","MIA","LAX",104,67,2342
6,7,"NK","LAS","ORD",0,0,1514
29,2,"B6","JFK","RNO",14,0,2411
31,4,"NK","LAX","PIT",9,0,2136
16,3,"YX","ORD","LGA",0,0,733
24,4,"HA","OGG","OAK",18,25,2349
30,3,"WN","SJC","SNA",0,0,342
4,5,"YX","EWR","DTW",0,0,488
17,4,"B6","TPA","HPN",168,153,1032
11,5,"DL","DCA","ATL",0,0,547
15,2,"AS","SEA","MKE",6,18,1694
21,1,"AA","SFO","ORD",61,55,1846
19,6,"AS","PSP","SEA",0,0,987
31,4,"WN","ATL","TPA",10,11,406
8,2,"DL","LGA","ATL",0,0,762
3,4,"9E","ATL","TRI",0,0,227
3,4,"YX","PHL","DCA",112,98,119
31,4,"OH","PHL","CVG",NA,NA,507
5,6,"YX","MSP","LGA",0,0,1020
16,3,"WN","ABQ","OAK",42,37,889
4,5,"OO","BDL","MSP",28,45,1050
27,7,"9E","ATL","OAJ",0,0,399
23,3,"DL","ATL","RSW",30,29,515
21,1,"B6","BOS","PBI",68,61,1197
18,5,"9E","BOS","RDU",0,0,612
19,6,"AA","PHX","JFK",0,5,2153
30,3,"WN","RDU","MDW",0,4,632
20,7,"WN","HOU","BNA",0,9,670
2,3,"WN","ATL","GSP",0,0,153
12,6,"DL","ATL","MSP",0,0,907
25,5,"WN","MDW","PHX",0,0,1444
1,2,"OH","LIT","CLT",0,0,640
24,4,"OO","CMH","RDU",0,0,362
1,2,"YV","IAD","LGA",0,0,229
15,2,"AA","EWR","CLT",0,0,529
23,3,"WN","MDW","TPA",29,23,997
21,1,"MQ","ORD","MDT",63,94,594
31,4,"YV","HSV","DFW",0,0,603
10,4,"AS","OAK","SEA",0,4,672
3,4,"OO","DAY","ORD",42,57,240
16,3,"AA","LAX","IND",0,0,1814
18,5,"UA","BOS","LAX",0,0,2611
29,2,"OO","TUS","SFO",0,18,751
23,3,"OO","PHX","YUM",0,0,160
3,4,"DL","DTW","SEA",0,5,1927
24,4,"DL","SLC","SFO",0,0,599
23,3,"OO","MSP","MLI",0,0,274
2,3,"WN","ISP","FLL",0,0,1092
31,4,"OO","MSP","MDW",0,0,349
23,3,"DL","MSP","PDX",0,0,1426
3,4,"B6","JFK","LAS",0,16,2248
11,5,"WN","OKC","DAL",2,6,181
12,6,"DL","CHO","ATL",0,0,457
24,4,"OH","CLT","AVP",8,3,509
15,2,"F9","RSW","CLE",0,0,1025
15,2,"UA","EWR","LAS",0,0,2227
15,2,"WN","STL","TPA",0,5,869
10,4,"UA","SJC","ORD",0,0,1829
10,4,"UA","IAH","LAX",0,0,1379
12,6,"WN","RNO","LAX",0,0,391
3,4,"DL","PHX","SLC",19,19,507
1,2,"WN","ATL","GSP",0,0,153
10,4,"WN","ATL","FLL",17,15,581
31,4,"YV","PHX","SBA",0,0,455
18,5,"YX","IAH","SDF",0,0,788
16,3,"WN","PHX","RNO",45,33,601
25,5,"OO","PDX","SLC",0,0,630
25,5,"OO","MSP","MSN",0,3,228
10,4,"UA","IAD","ATL",0,3,534
20,7,"UA","SAV","EWR",0,18,708
30,3,"OH","FAY","CLT",0,0,118
3,4,"DL","DTW","ATL",0,0,594
31,4,"WN","CMH","DEN",0,0,1154
31,4,"AA","MDT","CLT",0,0,413
31,4,"F9","DEN","MKE",0,0,896
25,5,"NK","LGA","FLL",0,0,1076
25,5,"WN","OKC","STL",11,4,462
4,5,"AA","CLT","SFO",0,17,2296
25,5,"OO","ORD","SAT",46,41,1041
13,7,"NK","BWI","ATL",0,0,577
27,7,"YX","CVG","ORD",0,0,264
9,3,"9E","ATL","FNT",0,0,645
29,2,"OO","MSP","MDW",0,0,349
28,1,"WN","BUR","PHX",13,9,369
19,6,"AA","MIA","MCO",0,0,192
8,2,"OO","SLC","ORD",0,0,1250
24,4,"OH","BHM","CLT",0,0,350
20,7,"WN","OAK","LAS",0,0,407
16,3,"AS","ANC","SEA",0,0,1448
2,3,"EV","CWA","ORD",0,3,213
13,7,"NK","ORD","DEN",0,1,888
8,2,"WN","DTW","MDW",47,32,228
25,5,"AA","IND","ORD",0,1,177
17,4,"AS","SFO","LAX",0,1,337
9,3,"WN","DEN","IND",23,15,977
15,2,"WN","BDL","BWI",NA,NA,283
26,6,"UA","PHX","ORD",0,0,1440
6,7,"AA","PHX","KOA",0,8,2860
23,3,"OO","LGA","CLT",0,0,544
22,2,"UA","LAX","IAH",0,0,1379
31,4,"MQ","ORD","COU",0,4,315
26,6,"EV","ICT","IAH",0,0,542
29,2,"DL","MSP","BIL",0,0,748
18,5,"DL","LGA","DTW",0,0,502
10,4,"DL","GRR","DTW",0,0,120
21,1,"YX","MSY","EWR",0,0,1167
11,5,"AS","SEA","PHX",2,0,1107
6,7,"9E","FAY","ATL",0,0,331
10,4,"WN","LAX","PDX",0,0,834
29,2,"EV","AVP","EWR",0,0,93
15,2,"HA","OAK","HNL",5,4,2409
20,7,"OO","GEG","SLC",0,0,546
22,2,"YX","ILM","PHL",0,0,413
20,7,"WN","TPA","BWI",5,0,842
3,4,"NK","MYR","FLL",0,0,529
1,2,"F9","DEN","SEA",1,0,1024
29,2,"DL","JFK","LAX",0,17,2475
3,4,"B6","FLL","BOS",7,11,1237
22,2,"YV","IAD","RDU",0,0,224
23,3,"AA","PHL","DTW",0,0,453
11,5,"DL","BOS","ATL",0,0,946
17,4,"YX","LGA","CHS",0,0,641
19,6,"UA","IAH","MSY",0,0,305
10,4,"EV","BTR","DFW",0,0,383
17,4,"WN","DEN","PHX",37,35,602
7,1,"9E","MCI","LGA",0,0,1107
12,6,"DL","MSO","SLC",5,9,436
29,2,"DL","LAX","JFK",0,5,2475
15,2,"YX","MSY","CLT",0,0,651
8,2,"UA","SFO","LAS",0,0,414
23,3,"B6","BOS","FLL",16,3,1237
16,3,"AA","MLB","CLT",0,0,490
19,6,"G4","PIE","OMA",44,62,1188
8,2,"AS","SFO","EWR",4,0,2565
13,7,"MQ","DFW","COU",0,0,489
23,3,"UA","ORD","SJU",3,0,2072
29,2,"WN","DEN","MCI",6,8,533
9,3,"UA","IAH","MSY",0,0,305
21,1,"UA","PDX","ORD",3,0,1739
4,5,"HA","HNL","OGG",0,0,100
23,3,"WN","HOU","ELP",111,104,677
29,2,"YV","MEM","PHX",0,0,1264
29,2,"DL","ORD","ATL",0,4,606
27,7,"AA","OGG","LAX",0,0,2486
8,2,"MQ","CHS","ORD",0,0,760
19,6,"AA","MEM","CLT",0,0,511
2,3,"DL","TPA","ATL",0,0,406
22,2,"AA","DFW","LAS",0,0,1055
25,5,"DL","IND","MSP",0,0,503
8,2,"B6","LGA","BOS",0,4,184
16,3,"UA","SFO","TPA",11,19,2393
28,1,"OO","MFR","SFO",0,0,329
5,6,"WN","LAS","IND",28,21,1590
20,7,"UA","MCO","EWR",0,6,937
13,7,"OO","AUS","SFO",0,0,1504
24,4,"9E","SGF","ATL",14,22,563
17,4,"UA","ORD","AUS",115,101,977
30,3,"AA","SAT","DFW",122,119,247
7,1,"9E","CVG","MSP",0,0,596
21,1,"EV","DFW","EVV",0,0,642
12,6,"AS","FAI","ANC",0,0,261
6,7,"DL","SLC","DFW",0,0,989
28,1,"OO","CGI","ORD",0,0,340
9,3,"OO","ORD","FWA",29,40,157
